FIPS Code,Year,hs_degree_or_more,no_hs_degree
1087,2010,10275.0,2640.0
1087,2017,9827.0,2053.0
1089,1970,58081.0,34090.0
1089,1980,77154.0,32899.0
1089,1990,122653.0,30211.0
1089,2000,154081.0,26308.0
1089,2010,198061.0,23316.0
1089,2017,246521.0,20784.0
1091,1970,4075.0,7786.0
1091,1980,6629.0,7127.0
1091,1990,8625.0,5425.0
1091,2000,10306.0,4020.0
1091,2010,11675.0,2386.0
1091,2017,11581.0,1416.0
1093,1970,3869.0,9771.0
1093,1980,7577.0,10347.0
1093,1990,9737.0,9728.0
1093,2000,13649.0,7962.0
1093,2010,15550.0,6140.0
1093,2017,16757.0,4028.0
1095,1970,10262.0,19838.0
1095,1980,19584.0,19513.0
1095,1990,28693.0,17985.0
1095,2000,38116.0,16845.0
1095,2010,45912.0,15665.0
1095,2017,54834.0,10161.0
1097,1970,68539.0,92179.0
1097,1980,123872.0,77046.0
1097,1990,162914.0,69340.0
1097,2000,191899.0,58223.0
1097,2010,223908.0,43800.0
1097,2017,246658.0,33210.0
1099,1970,3462.0,7137.0
1099,1980,6235.0,6079.0
1099,1990,8429.0,5799.0
1099,2000,10439.0,4939.0
1099,2010,11664.0,3695.0
1099,2017,11472.0,2235.0
1101,1970,47571.0,39981.0
1101,1980,73540.0,36541.0
1101,1990,96652.0,31713.0
1101,2000,113437.0,27905.0
1101,2010,124826.0,21542.0
1101,2017,133220.0,18222.0
1103,1970,18767.0,22039.0
1103,1980,31318.0,20951.0
1103,1990,44901.0,19814.0
1103,2000,55984.0,17347.0
1103,2010,66305.0,14598.0
1103,2017,72339.0,12535.0
1105,1970,2158.0,5338.0
1105,1980,3390.0,4468.0
1105,1990,3646.0,3507.0
1105,2000,4353.0,2625.0
1105,2010,4879.0,1866.0
1105,2017,4229.0,1085.0
1107,1970,3419.0,7409.0
1107,1980,5310.0,6800.0
1107,1990,7281.0,5682.0
1107,2000,9428.0,4108.0
1107,2010,10373.0,3017.0
1107,2017,11546.0,2046.0
1109,1970,4698.0,7862.0
1109,1980,7081.0,7852.0
1109,1990,9266.0,6451.0
1109,2000,12231.0,5472.0
1109,2010,15546.0,3509.0
1109,2017,16881.0,2324.0
1111,1970,3022.0,7664.0
1111,1980,4882.0,6965.0
1111,1990,6446.0,6363.0
1111,2000,9144.0,5618.0
1111,2010,11085.0,4389.0
1111,2017,12806.0,2808.0
1113,1970,6152.0,16516.0
1113,1980,11476.0,15314.0
1113,1990,16922.0,12750.0
1113,2000,21358.0,10749.0
1113,2010,27389.0,7559.0
1113,2017,33964.0,5904.0
1115,1970,4677.0,10304.0
1115,1980,11801.0,11841.0
1115,1990,19471.0,12450.0
1115,2000,30748.0,12353.0
1115,2010,46088.0,11002.0
1115,2017,56320.0,8203.0
1117,1970,6964.0,12329.0
1117,1980,23503.0,13473.0
1117,1990,48431.0,13507.0
1117,2000,81799.0,12386.0
1117,2010,119280.0,11096.0
1117,2017,144108.0,9537.0
1119,1970,2591.0,5393.0
1119,1980,3971.0,4575.0
1119,1990,4695.0,4259.0
1119,2000,5654.0,3077.0
1119,2010,6342.0,2066.0
1119,2017,6531.0,823.0
1121,1970,11831.0,21302.0
1121,1980,19923.0,20624.0
1121,1990,27993.0,18098.0
1121,2000,36958.0,16102.0
1121,2010,43473.0,12349.0
1121,2017,47769.0,9637.0
1123,1970,6215.0,12564.0
1123,1980,11092.0,11867.0
1123,1990,14550.0,10611.0
1123,2000,19884.0,8489.0
1123,2010,22563.0,6453.0
1123,2017,24201.0,5356.0
1125,1970,26888.0,33142.0
1125,1980,44250.0,29433.0
1125,1990,61900.0,27062.0
1125,2000,78058.0,20981.0
1125,2010,98182.0,16286.0
1125,2017,128672.0,13287.0
1127,1970,9478.0,21847.0
1127,1980,18352.0,21870.0
1127,1990,24670.0,19350.0
1127,2000,32206.0,15713.0
1127,2010,35309.0,11110.0
1127,2017,37432.0,7849.0
1129,1970,2265.0,5409.0
1129,1980,4168.0,4803.0
1129,1990,5794.0,4166.0
1129,2000,8128.0,3112.0
1129,2010,9238.0,2323.0
1129,2017,9268.0,1232.0
1131,1970,2294.0,5260.0
1131,1980,3151.0,4423.0
1131,1990,3944.0,3771.0
1131,2000,4751.0,3228.0
1131,2010,5412.0,2181.0
1131,2017,5493.0,1576.0
1133,1970,2877.0,6440.0
1133,1980,5553.0,7390.0
1133,1990,7044.0,7402.0
1133,2000,10691.0,6387.0
1133,2010,12022.0,5174.0
1133,2017,13605.0,3393.0
2000,1970,89954.0,44994.0
2000,1980,174456.0,36941.0
2000,1990,280185.0,43244.0
2000,2000,335274.0,44282.0
2000,2010,409891.0,37652.0
2000,2017,454182.0,31689.0
2010,1970,1882.0,1237.0
2010,1980,2887.0,857.0
2013,1990,1017.0,514.0
2013,2000,1500.0,507.0
2013,2010,1934.0,495.0
2013,2017,2167.0,508.0
2016,1990,4693.0,774.0
2016,2000,3338.0,913.0
2016,2010,3187.0,845.0
2016,2017,3457.0,404.0
2020,1970,43217.0,13711.0
2020,1980,82181.0,10839.0
2020,1990,123516.0,13139.0
2020,2000,144409.0,15522.0
2020,2010,169244.0,14054.0
2020,2017,181252.0,11202.0
2050,1970,542.0,2258.0
2050,1980,2207.0,2605.0
2050,1990,4270.0,2584.0
2050,2000,5696.0,2330.0
2050,2010,7128.0,1783.0
2050,2017,8364.0,1745.0
2060,1970,340.0,140.0
2060,1980,492.0,109.0
2060,1990,798.0,91.0
2060,2000,695.0,87.0
2060,2010,559.0,62.0
2060,2017,604.0,32.0
2063,2017,4660.0,269.0
2066,2017,1655.0,136.0
2068,2000,1207.0,109.0
2068,2010,1226.0,156.0
2068,2017,1618.0,56.0
2070,1970,417.0,949.0
2070,1980,1200.0,929.0
2070,1990,1506.0,653.0
2070,2000,2035.0,620.0
2070,2010,2216.0,467.0
2070,2017,2557.0,345.0
2090,1970,14138.0,4723.0
2090,1980,24300.0,3762.0
2090,1990,38876.0,4412.0
2090,2000,44056.0,3918.0
2090,2010,55095.0,3981.0
2090,2017,58079.0,3271.0
2100,1970,374.0,423.0
2100,1980,748.0,212.0
2100,1990,1094.0,299.0
2100,2000,1476.0,184.0
2100,2010,1772.0,61.0
2100,2017,1387.0,33.0
2105,2010,1449.0,182.0
2105,2017,1728.0,110.0
2110,1970,5392.0,1598.0
2110,1980,10231.0,998.0
2110,1990,15068.0,1701.0
2110,2000,18540.0,1359.0
2110,2010,20455.0,903.0
2110,2017,21901.0,1046.0
2122,1970,5156.0,2793.0
2122,1980,11235.0,2459.0
2122,1990,21304.0,3119.0
2122,2000,27783.0,3605.0
2122,2010,35075.0,2711.0
2122,2017,39241.0,2404.0
2130,1970,3244.0,1794.0
2130,1980,5225.0,1128.0
2130,1990,7299.0,1252.0
2130,2000,8067.0,932.0
2130,2010,8519.0,569.0
2130,2017,9350.0,519.0
2150,1970,2456.0,1596.0
2150,1980,4093.0,1131.0
2150,1990,6594.0,1194.0
2150,2000,6993.0,1194.0
2150,2010,7506.0,685.0
2150,2017,7877.0,757.0
2158,1970,89.0,1174.0
2158,1980,646.0,1222.0
2158,1990,1441.0,1053.0
2158,2000,2044.0,1038.0
2158,2010,2519.0,829.0
2158,2017,3299.0,753.0
2160,1970,329.0,577.0
2164,1990,549.0,355.0
2164,2000,708.0,273.0
2164,2010,717.0,128.0
2164,2017,591.0,60.0
2170,1970,2011.0,1295.0
2170,1980,7843.0,1791.0
2170,1990,20579.0,2861.0
2170,2000,31488.0,4233.0
2170,2010,51760.0,4317.0
2170,2017,67246.0,4123.0
