Address_2                                          ,Lat 2nd Run ,Long 2nd Run ,fips_codes,Tribe Name                                                                            ,Game Class Type                       ,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23        ,Cost,State,Casino_Name
635 CA-20 Upper Lake CA 95485                      ,39.16152567,-122.9035952,"['06033', '06045', '06097', '06011', '06021']",Habematolel Pomo of Upper Lake                                                        ,Class III (See 25 CFR 502.3 & 4)      ,200,     2012 ,           33000 ,               ,26.7,          ,CA,Running Creek Casino
12510 CA-96 Hoopa CA 95546                         ,41.0588961,-123.6845383,"['06023', '06093', '06105', '06015']",Hoopa Valley Tribe                                                                    ,Class II & III (See 25 CFR 502.3 & 4) ,100,     1995 ,            5000 ,               ,2.0,          ,CA,Lucky Bear Casino
12222 New York Ranch Rd Jackson CA 95642           ,38.3864424,-120.7337834,"['06005', '06009', '06099', '06077', '06109', '06017', '06067']",Jackson Band of Miwuk Indians                                                         ,Class II & III (See 25 CFR 502.3 & 4) ,1525,     1991 ,          271000 ,          2012 ,38.0,  80000000,CA,Jackson Rancheria Casino & Hotel
14145 Campo Rd Jamul CA 91935                      ,32.70508651,-116.8695889,['06073'],Jamul Indian Village of California                                                    ,Class III (See 25 CFR 502.3 & 4)      ,1700,     2016 ,          200000 ,               ,10.7, 515000000,CA,Jamul Casino
777 Casino Way Yreka CA 96097                      ,41.71187185,-122.6314124,"['06093', '41029', '06105']",Karuk Tribe                                                                           ,Class III (See 25 CFR 502.3 & 4)      ,349,     2018 ,            6000 ,          2023 ,5.0,  40000000,CA,Rain Rock Casino
13255 San Pablo Ave San Pablo CA 94806             ,37.9524169,-122.3345222,"['06001', '06013', '06081', '06055', '06097', '06095', '06041', '06075']",Lytton Rancheria of California                                                        ,Class II (See 25 CFR 502.3 & 4)       ,1500,     2002 ,           64000 ,               ,96.0,   6000000,CA,San Pablo Lytton Casino
22215 Windy Hollow Rd Point Arena CA 95468         ,38.923563,-123.697321,"['06045', '06097']",Manchester Band of Pomo Indians of the Manchester Rancheria                           ,Class III (See 25 CFR 502.3 & 4)      ,200,     2011 ,            4800 ,               ,5.0,          ,CA,Garcia River Casino
22223 CA-29 Middletown CA 95461                    ,38.73012903,-122.6219393,"['06033', '06045', '06055', '06097', '06113', '06011']",Middletown Rancheria of Pomo Indians of California                                    ,Class II & III (See 25 CFR 502.3 & 4) ,500,     1994 ,          107000 ,          2009 ,1.9,  42000000,CA,Twin Pine Casino
6370 Lower Wyandotte Rd Oroville CA 95966          ,39.5016778,-121.5393026,"['06057', '06115', '06101', '06063', '06011', '06021', '06007']",Mooretown Rancheria of Maidu Indians of California                                    ,Class II & III (See 25 CFR 502.3 & 4) ,300,     1996 ,           11000 ,          1998 ,2.3, 100000000,CA,Feather Falls Casino
49020 Seminole Dr Cabazon CA 92230                 ,33.9192362,-116.7829501,"['06071', '06065']",Morongo Band of Mission Indians                                                       ,Class II & III (See 25 CFR 502.3 & 4) ,100,     2022 ,                 ,               ,11.44854182,          ,CA,Morongo Travel Center @ Morongo Trail
49020 Seminole Dr Cabazon CA 92230                 ,33.9192362,-116.7829501,"['06071', '06065']",Morongo Band of Mission Indians                                                       ,Class II (See 25 CFR 502.3 & 4)       ,40,     2000 ,                 ,               ,4.579416727,          ,CA,Morongo Travel Center @ Seminole Dr.
49500 Seminole Dr Cabazon CA 92230                 ,33.9192362,-116.7829501,"['06071', '06065']",Morongo Band of Mission Indians                                                       ,Class II & III (See 25 CFR 502.3 & 4) ,4000,     2004 ,          195000 ,          2018 ,457.9416727, 250000000,CA,Morongo Casino Resort & Spa
