Address_2                                          ,Lat 2nd Run ,Long 2nd Run ,fips_codes,Tribe Name                                                                            ,Game Class Type                       ,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23        ,Cost,State,Casino_Name
Poplar MT 59255                                    ,48.1126804,-105.198113,"['30085', '30055', '30083', '30021']",Assiniboine & Sioux Tribes of the Fort Peck Reservation                               ,Class III                             ,30,     2008 ,             555 ,               ,32.5,          ,MT,Tribal Express Casino
132 US-2 Wolf Point MT 59201                       ,48.09573365,-105.6384853,"['30085', '30105', '30055', '30021']",Assiniboine & Sioux Tribes of the Fort Peck Reservation                               ,Class III                             ,40,          ,                 ,               ,0.5,          ,MT,Git-N-Go
33 Dawson Ave East Glacier Park MT 59434           ,48.44200964,-113.2178886,"['30029', '30073', '30099', '30035']",Blackfeet Tribe of the Blackfeet Indian Reservation of Montana                        ,Class II                              ,30,     2023 ,            1000 ,               ,0.5,          ,MT,The Peak
601 SE Boundary St Browning MT 59417               ,48.54926185,-113.011937,"['30029', '30073', '30099', '30035']",Blackfeet Tribe of the Blackfeet Indian Reservation of Montana                        ,Class II                              ,100,     2011 ,            1500 ,               ,5.0,          ,MT,Glacier Little Peaks Casino
46 Museum Lp Browning MT 59417                     ,48.5562994,-113.0243553,"['30029', '30073', '30099', '30035']",Blackfeet Tribe of the Blackfeet Indian Reservation of Montana                        ,Class II                              ,300,     2006 ,           33000 ,          2013 ,5.0,   7000000,MT,Glacier Peaks Casino
11275 US-87 Box Elder MT 59521                     ,48.3885576,-109.9229815,"['30015', '30005', '30041']",Chippewa Cree Indians of the Rocky Boy's Reservation                                  ,Class II & III                        ,240,     2007 ,           10000 ,               ,5.0,  25000000,MT,Northern Winz Hotel and Casino
44297 A St Big Arm MT 59910                        ,47.79925068,-114.2914628,"['30029', '30089', '30063', '30047']",Confederated Salish and Kootenai Tribes of the Flathead Reservation                   ,Class II                              ,44,          ,                 ,               ,1.0,          ,MT,Big Arm Marina Casino
20750 US-93 Missoula MT 59808                      ,47.07015847,-114.0654293,"['30081', '30061', '30089', '30063', '30047']",Confederated Salish and Kootenai Tribes of the Flathead Reservation                   ,Class II                              ,300,     2013 ,           34000 ,          2016 ,4.0,  15400000,MT,Gray Wolf Peak Casino
49708 US-93 Polson MT 59860                        ,47.69429093,-114.1584274,"['30029', '30089', '30063', '30047']",Confederated Salish and Kootenai Tribes of the Flathead Reservation                   ,Class II                              ,200,     1992 ,           25000 ,          2023 ,13.4,          ,MT,KwaTaqNuk Resort
210 1st Avenue Southeast Harlem MT                 ,48.5313355,-108.7818406,"['30071', '30005']",Fort Belknap Indian Community of the Fort Belknap Reservation                         ,Class II & III                        ,100,     2002 ,           19000 ,               ,5.0,          ,MT,Fort Belknap Casino
1/2 US-212 Lame Deer MT 59043                      ,45.6254589,-106.6582248,"['30087', '30003', '30075', '30103']",Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation                   ,Class II & III                        ,133,     2011 ,           19000 ,               ,15.0,          ,MT,Charging Horse Casino & Bingo
538 Kings Mountain Blvd Kings Mountain NC 28086    ,35.2397493,-81.3804084,"['45091', '37023', '37161', '45087', '45021', '45023', '37035', '37109', '37119', '37071', '37045']",Catawba Indian Nation                                                                 ,Class III                             ,1000,     2021 ,           30000 ,               ,150.0, 600000000,SC,Catawba Two Kings Casino
777 Casino Pkwy Murphy NC 28906                    ,35.1152731,-83.99234247,"['13291', '37039', '37043', '37075', '13311', '47123', '47009', '37173', '37113', '13111', '47139', '13187', '13281', '13241']",Eastern Band of Cherokee Indians of North Carolina                                    ,Class II & III                        ,4100,     1997 ,          150000 ,          2009 ,688.06, 995000000,NC,Harrah's Cherokee Casino
777 Casino Pkwy Murphy NC 28906                    ,35.1152731,-83.99234247,"['13291', '37039', '37043', '37075', '13311', '47123', '47009', '37173', '37113', '13111', '47139', '13187', '13281', '13241']",Eastern Band of Cherokee Indians of North Carolina                                    ,Class III                             ,1400,     2015 ,           55000 ,          2021 ,206.1, 275000000,NC,Harrah's Cherokee Valley River Casino
Hankinson ND 58041                                 ,46.069681,-96.901748,"['27167', '46109', '27155', '46091', '38073', '38081', '38077']",Sisseton-Wahpeton Oyate of the Lake Traverse Reservation                              ,Class II & III                        ,850,     1998 ,           62575 ,          2014 ,41.0,  14000000,ND,Dakota Magic Casino
7889 ND-57 St Michael ND 58370                     ,48.0160086,-98.90807472,"['38005', '38071', '38103', '38095', '38027', '38031', '38063']",Spirit Lake Tribe                                                                     ,Class II & III                        ,730,     1996 ,           49000 ,          2011 ,20.3,  14600000,ND,Spirit Lake Casino & Resort
7932 ND-24 Fort Yates ND 58538                     ,46.0887664,-100.6702996,"['38037', '38085', '38059', '38029', '46031', '46021']",Standing Rock Sioux Tribe of North and South Dakota                                   ,Class III                             ,700,     1993 ,           45000 ,          2024 ,56.3,          ,ND,Prairie Knights Casino and Resort
New Town North Dakota                              ,47.980848,-102.49018,"['38053', '38055', '38061', '38105', '38025']",Three Affiliated Tribes of the Fort Berthold Reservation                              ,Class II & III                        ,700,     1993 ,          108000 ,          2025 ,41.0,  95000000,ND,4 Bears Casino and Lodge
352 Main Street New Town North Dakota 58763        ,47.97963972,-102.4878132,"['38053', '38055', '38061', '38105', '38025']",Three Affiliated Tribes of the Fort Berthold Reservation                              ,Class II & III                        ,3,     2017 ,                 ,               ,0.2,          ,ND,American Legion Post 290
200 33rd St SE Spiritwood ND 58481                 ,46.93592,-98.485139,"['38003', '38045', '38039', '38031', '38093']",Three Affiliated Tribes of the Fort Berthold Reservation                              ,Class II & III                        ,3,     1998 ,                 ,               ,0.3,          ,ND,Sportman's Bar
New Town North Dakota                              ,47.980848,-102.49018,"['38053', '38055', '38061', '38105', '38025']",Three Affiliated Tribes of the Fort Berthold Reservation                              ,Class II & III                        ,5,          ,                 ,               ,0.5,          ,ND,Scenic 23 Club
trenton North Dakota                               ,48.070578,-103.836871,"['30085', '30083', '38053', '38105', '30091']",Turtle Mountain Band of Chippewa Indians                                              ,Class II                              ,400,     2016 ,            5000 ,               ,11.0,          ,ND,Grand Treasures Casino
Nd-5 Belcourt ND 58316                             ,48.844034,-99.732593,"['38095', '38009', '38069', '38079']",Turtle Mountain Band of Chippewa Indians                                              ,Class II                              ,8,     2003 ,                 ,               ,0.5,          ,ND,LaDot's Lounge
4180 US-281 Belcourt ND 58316                      ,48.844034,-99.732593,"['38095', '38009', '38069', '38079']",Turtle Mountain Band of Chippewa Indians                                              ,Class II                              ,495,     1992 ,            5500 ,               ,1.0,          ,ND,Turtle Mountain Bingo Palace/Sprung
9260 42nd Avenue Belcourt ND 58316                 ,48.80676435,-99.78580445,"['38095', '38009', '38069', '38079']",Turtle Mountain Band of Chippewa Indians                                              ,Class II & III                        ,820,     1997 ,           37000 ,          2012 ,59.9,          ,ND,Sky Dancer Hotel & Casino
200 Main St Walthill NE 68067                      ,42.148287,-96.487205,"['46127', '31051', '31053', '19133', '31039', '31021', '31173', '31179', '19149', '31043', '19193']",Omaha Tribe of Nebraska                                                               ,Class II                              ,100,     2005 ,            1200 ,          2023 ,5.0,   2000000,NE,Lucky 77 Casino
1031 Avenue H Carter Lake IA 51510                 ,41.28140247,-95.9154324,"['31153', '31053', '31177', '31055', '19071', '19085', '31025', '19129', '31155', '19155']",Ponca Tribe of Nebraska                                                               ,Class III                             ,200,     2018 ,            9500 ,          2022 ,16.3,          ,NE,Prairie Flower Casino
53142 NE-12 Niobrara NE 68760                      ,42.7526168,-98.0232686,"['46067', '46009', '46023', '31003', '31089', '31139', '46135', '31107', '31015']",Santee Sioux Nation                                                                   ,Class II                              ,400,     1996 ,           25000 ,          2011 ,5.0,  20000000,NE,Ohiya Casino and Resort
Winnebago NE 68071                                 ,42.2355278,-96.4725075,"['46127', '31051', '19133', '31039', '31021', '31173', '31179', '19149', '31043', '19193']",Winnebago Tribe of Nebraska                                                           ,Class II                              ,90,     2005 ,             600 ,               ,110.0,          ,NE,Native Star Casino
1106 Main St Emerson NE 68733                      ,42.27874275,-96.72634309,"['31167', '46127', '31051', '19133', '31039', '31021', '31173', '31179', '46027', '19149', '31027', '31043', '19193']",Winnebago Tribe of Nebraska                                                           ,Class II                              ,89,     2004 ,            2000 ,               ,15.0,          ,NE,Iron Horse Bar & Casino
25845 US-70 Mescalero NM 88340                     ,33.1556934,-105.7701056,"['35027', '35035']",Mescalero Apache Tribe of the Mescalero Reservation                                   ,Class II & III                        ,380,     2003 ,           10000 ,               ,3.0,   6000000,NM,Casino Apache Travel Center
140 Junction Road Ruidoso NM 88345                 ,33.3211652,-105.6355359,"['35027', '35005', '35035']",Mescalero Apache Tribe of the Mescalero Reservation                                   ,Class II & III                        ,1200,     2005 ,           45000 ,               ,13.4,  85000000,NM,Inn of the Mountain Gods Resort and Casino
2710 US-64 Shiprock NM 87420                       ,36.7842991,-108.6692588,"['08083', '35045', '04001', '49037', '08067']",Navajo Nation                                                                         ,Class II                              ,120,     2010 ,           11000 ,               ,15.0,   3100000,NM,Flowing Waters Navajo Casino
414 North Allen Avenue Farmington NM 87401         ,36.73328195,-108.2058324,"['08083', '35045', '08067']",Navajo Nation                                                                         ,Class II & III                        ,750,     2012 ,           85000 ,               ,5.0, 175000000,NM,Northern Edge Navajo Casino
Church Rock NM 87311                               ,35.5354476,-108.600894,"['35006', '35031']",Navajo Nation                                                                         ,Class II & III                        ,1100,     2008 ,           64000 ,               ,7.0,  20000000,NM,Fire Rock Navajo Casino
68 NM-291 Ohkay Owingeh NM 87566                   ,36.0681326,-106.0563469,"['35039', '35055', '35033', '35047', '35028', '35049', '35043']",Ohkay Owingeh                                                                         ,Class III                             ,600,     1999 ,           30000 ,          2010 ,5.054,          ,NM,OHKAY Casino
Seama NM 87007                                     ,35.0393867,-107.5244966,"['35061', '35001', '35006', '35031', '35043']",Pueblo of Acoma                                                                       ,Class II & III                        ,558,     2002 ,           40000 ,          2010 ,4.0,          ,NM,Sky City Casino
Seama NM 87007                                     ,35.0393867,-107.5244966,"['35061', '35001', '35006', '35031', '35043']",Pueblo of Acoma                                                                       ,Class III                             ,45,     2007 ,                 ,               ,0.708,          ,NM,Sky City Travel Center
11000 Broadway Blvd SE Albuquerque NM 87105        ,35.043445,-106.647561,"['35057', '35061', '35001', '35006', '35049', '35043']",Pueblo of Isleta                                                                      ,Class II & III                        ,1800,     1986 ,          100000 ,          2017 ,26.265,  40000000,NM,Isleta Resort & Casino
to'hajiilee new mexico                             ,35.0620777,-107.1023559,"['35061', '35001', '35006', '35031', '35043']",Pueblo of Laguna                                                                      ,Class II & III                        ,1300,     2003 ,          158000 ,          2023 ,0.5,          ,NM,Rt. 66 Casino Hotel
to'hajiilee new mexico                             ,35.0620777,-107.1023559,"['35061', '35001', '35006', '35031', '35043']",Pueblo of Laguna                                                                      ,Class III                             ,130,     2023 ,            8000 ,               ,10.5,          ,NM,Rt. 66 Casino Express
Paraje NM 87007                                    ,35.0552523,-107.47556,"['35061', '35001', '35006', '35031', '35043']",Pueblo of Laguna                                                                      ,Class II & III                        ,600,     2000 ,           45000 ,          2009 ,11.5,   3900000,NM,Dancing Eagle Casino
30 Buffalo Thunder Trail Santa Fe NM 87506         ,35.8614437,-105.9965389,"['35039', '35055', '35033', '35047', '35028', '35049', '35043']",Pueblo of Pojoaque                                                                    ,Class II & III                        ,1200,     2008 ,           70000 ,               ,12.0, 280000000,NM,Buffalo Thunder
10 Cities of Gold Rd Santa Fe NM 87506             ,35.8910839,-106.0201726,"['35039', '35055', '35033', '35047', '35028', '35049', '35043']",Pueblo of Pojoaque                                                                    ,Class II & III                        ,500,     1998 ,           40000 ,          2012 ,4.597,          ,NM,Cities of Gold Casino
25 Hagen Rd Algodones NM 87001                     ,35.4163951,-106.4021018,"['35057', '35001', '35028', '35049', '35043']",Pueblo of San Felipe                                                                  ,Class III                             ,600,     2000 ,           22000 ,          2017 ,4.192,  12000000,NM,Black Mesa Casino
30 Rainbow Rd Albuquerque NM 87113                 ,35.20707625,-106.5669709,"['35057', '35061', '35001', '35049', '35043']",Pueblo of Sandia                                                                      ,Class II & III                        ,1940,     1994 ,          140000 ,          2018 ,50.362, 188000000,NM,Sandia Resort and Casino
1300 Jemez Dam Road Bernalillo NM 87004            ,35.3269925,-106.5675246,"['35057', '35061', '35001', '35049', '35043']",Pueblo of Santa Ana                                                                   ,Class III                             ,1475,     1993 ,          109000 ,          2000 ,27.334,  85000000,NM,Santa Ana Star Casino
460 N Riverside Dr Espaï¿½ola NM 87532               ,36.0201479,-106.0642059,"['35039', '35055', '35033', '35047', '35028', '35049', '35043']",Pueblo of Santa Clara                                                                 ,Class II & III                        ,650,     2001 ,           27000 ,          2010 ,8.793,          ,NM,Santa Claran Hotel Casino
700 Veterans Hwy Taos NM 87571                     ,36.4278054,-105.5621761,"['35007', '35039', '35055', '35033']",Pueblo of Taos                                                                        ,Class III                             ,218,     1997 ,           10000 ,          2022 ,2.082,  12000000,NM,Taos Mountain Casino
7 Tesuque Rd Santa Fe NM 87506                     ,35.7689064,-105.9457765,"['35039', '35055', '35033', '35047', '35028', '35049', '35043']",Pueblo of Tesuque                                                                     ,Class III                             ,800,     1995 ,           72000 ,          2018 ,6.553,  50000000,NM,Tesuque Casino
10000 Aha Macav Pkwy Laughlin NV 89029             ,35.0596543,-114.6491173,"['32003', '04015', '06071']",Fort Mojave Indian Tribe                                                              ,Class II & III                        ,650,     1995 ,           25000 ,               ,58.0,  60000000,NV,Avi Casino
Moapa NV 89025                                     ,36.6673648,-114.584977,"['32003', '32017']",Moapa Band of Paiutes                                                                 ,Class III                             ,100,     1999 ,            2500 ,               ,1.0,          ,NV,Moapa Travel Center and Casino
Moapa Recreation Center                            ,36.6711643,-114.5899422,"['32003', '32017']",Moapa Band of Paiutes                                                                 ,Class III                             ,5,     1988 ,                 ,               ,1.0,          ,NV,Moapa Tribal Store
1027 Riverview Dr Gardnerville NV 89460            ,38.91073545,-119.71623,"['06003', '06005', '06051', '32031', '06061', '32510', '32029', '32005', '32019', '06017']",Washoe Tribe of Nevada and California                                                 ,Class III                             ,1300,     2016 ,           46000 ,               ,7.0,  10675000,NV,Wa She Shu Center
2552 NY-89 Seneca Falls NY 13148                   ,42.90201176,-76.75482935,"['36123', '36075', '36067', '36097', '36099', '36069', '36117', '36011', '36109']",Cayuga Nation                                                                         ,Class II                              ,55,     2013 ,            3000 ,               ,1.5,          ,NY,Lakeside Entertainment II
271 Cayuga St Union Springs NY 13160               ,42.853649,-76.6914258,"['36123', '36075', '36067', '36097', '36099', '36069', '36117', '36011', '36109', '36023']",Cayuga Nation                                                                         ,Class II                              ,86,     2022 ,            2500 ,               ,1.0,          ,NY,Lakeside Entertainment III (E3)
27 Fall Street Seneca Falls NY 13148               ,42.91163395,-76.79792431,"['36123', '36075', '36067', '36097', '36099', '36069', '36117', '36011', '36109']",Cayuga Nation                                                                         ,Class II                              ,128,     2023 ,            4000 ,               ,1.0,          ,NY,Lakeside Entertainment IV
126 E Bayard St. Seneca Falls NY 13148             ,42.91117565,-76.78195741,"['36123', '36075', '36067', '36097', '36099', '36069', '36117', '36011', '36109']",Cayuga Nation                                                                         ,Class II                              ,78,     2004 ,            3500 ,               ,1.0,          ,NY,Lakeside Entertainment I
450 452 NY-31 Bridgeport NY 13030                  ,43.1544035,-75.9729599,"['36053', '36065', '36075', '36067', '36049', '36023']",Cayuga Nation                                                                         ,Class III                             ,600,     2018 ,           65000 ,          2024 ,5.0,  50000000,NY,Point Place Casino
5218 Patrick Rd Verona NY 13478                    ,43.1146225,-75.5884599,"['36043', '36053', '36065', '36077', '36075', '36017', '36067', '36049']",Cayuga Nation                                                                         ,Class II & III                        ,2000,     1993 ,          125000 ,          2010 ,34.0, 370000000,NY,Turning Stone Casino
800 W Genesee St Chittenango NY 13037              ,43.0448887,-75.8815371,"['36053', '36065', '36075', '36017', '36067', '36023']",Cayuga Nation                                                                         ,Class III                             ,430,     2015 ,           80000 ,          2019 ,16.8,  20000000,NY,Yellow Brick Road Casino
873 NY-37 Hogansburg NY 13655                      ,44.97191414,-74.66153087,"['36033', '36089']",Saint Regis Mohawk Tribe                                                              ,Class II & III                        ,1800,     1999 ,          140000 ,          2011 ,142.6,  74000000,NY,Akwesasne Mohawk Casino Resort Akwesasne Community Building
5374 W Shore Rd Cuba NY 14727                      ,42.260028,-78.299714,"['36029', '36009', '42083', '42105', '36121', '36051', '36003']",Seneca Nation of Indians                                                              ,Class II                              ,300,     2014 ,            4500 ,               ,34.19589977,   5000000,NY,Seneca Gaming and Entertainment - Oil Springs
1 Fulton St Buffalo NY 14204                       ,42.87367575,-78.87024163,"['36013', '36029', '36009', '36121', '36037', '36063']",Seneca Nation of Indians                                                              ,Class III                             ,1100,     2007 ,           67000 ,          2013 ,125.3849658, 130000000,NY,Seneca Buffalo Creek Casino
768 Broad St Salamanca NY 14779                    ,42.1598363,-78.7449136,"['36013', '36029', '36009', '42083', '42123']",Seneca Nation of Indians                                                              ,Class II                              ,340,     2004 ,           15000 ,               ,38.75535308,          ,NY,Seneca Gaming and Entertainment - Salamanca
12746 Erie Street Irving NY 14081                  ,42.5649255,-79.1110145,"['36013', '36029', '36009']",Seneca Nation of Indians                                                              ,Class II                              ,650,     2008 ,           30000 ,               ,74.09111617,          ,NY,Seneca Gaming and Entertainment - Irving
310 4th St Niagara Falls NY 14303                  ,43.0855629,-79.05785015,"['36029', '36063']",Seneca Nation of Indians                                                              ,Class II & III                        ,2595,     2002 ,           82000 ,          2018 ,295.794533, 320000000,NY,Seneca Niagara Casino
777 Seneca Allegany Blvd Salamanca NY 14779        ,42.15189204,-78.74387559,"['36013', '36029', '36009', '42083', '42123']",Seneca Nation of Indians                                                              ,Class III                             ,1600,     2004 ,           68300 ,          2007 ,182.3781321,  75800000,NY,Seneca Allegany Casino
2025 S Gordon Cooper Dr Shawnee OK 74801           ,35.2937119,-96.926138,"['40027', '40125', '40133', '40107', '40081', '40123', '40109', '40087']",Absentee Shawnee Tribe of Indians of OK                                               ,Class II & III                        ,250,     2005 ,           23000 ,               ,7.8,          ,OK,Thunderbird Casino - Shawnee
15700 OK-9 Norman OK 73026                         ,35.19028301,-97.25659487,"['40027', '40125', '40081', '40123', '40109', '40049', '40051', '40087']",Absentee Shawnee Tribe of Indians of OK                                               ,Class II & III                        ,1200,     2003 ,           40000 ,               ,12.9,          ,OK,Thunderbird Entertainment Center
115 Evans Ave Apache OK 73006                      ,34.89324112,-98.3668253,"['40075', '40033', '40031', '40149', '40137', '40015', '40051']",Apache Tribe of Oklahoma                                                              ,Class II & III                        ,400,     2013 ,           45000 ,          2017 ,19.6,          ,OK,Golden Eagle Casino
107 N Georgetown Rd Fort Gibson OK 74434           ,35.7739631,-95.26935528,"['40145', '40135', '40101', '40131', '40021', '40061', '40091', '40097']",Cherokee Nation                                                                       ,Class II & III                        ,450,     2004 ,           28500 ,          2012 ,18.83891072,  20000000,OK,Cherokee Casino - Fort Gibson
109 Cherokee Blvd Roland OK 74954                  ,35.406106,-94.526517,"['40079', '40135', '40001', '40021', '40061', '05033', '05143', '05131']",Cherokee Nation                                                                       ,Class II & III                        ,850,     1990 ,          170000 ,          2015 ,35.58460913,  80000000,OK,Cherokee Casino - Roland
1621 W Ruth Ave Sallisaw OK 74955                  ,35.4495825,-94.80742255,"['40079', '40135', '40101', '40001', '40021', '40061', '05033', '40077', '05131']",Cherokee Nation                                                                       ,Class II & III                        ,256,     2006 ,           22000 ,               ,10.71724699,          ,OK,Cherokee Casino - Sallisaw
1506 US-169 South Coffeyville OK 74072             ,36.9879785,-95.6215486,"['40113', '40131', '40035', '20125', '40105', '20205', '20133', '40147', '20099', '20019']",Cherokee Nation                                                                       ,Class II & III                        ,300,     2015 ,           17000 ,               ,12.55927381,  10000000,OK,Cherokee Casino - South Coffeyville
24979 US-59 Grove OK 74344                         ,36.6023413,-94.7902701,"['05007', '40041', '40035', '29119', '20021', '40115', '29145', '40097']",Cherokee Nation                                                                       ,Class II & III                        ,400,     2016 ,           39000 ,               ,16.74569841,  23000000,OK,Cherokee Nation Grove Casino
31501 US-75 Ramona OK 74061                        ,36.5337524,-95.9290826,"['40145', '40143', '40113', '40131', '40105', '40147']",Cherokee Nation                                                                       ,Class II & III                        ,500,     2010 ,           31000 ,          2012 ,20.93212302,  18000000,OK,Cherokee Casino Ramona
3457 Cherokee Springs Rd Tahlequah OK 74464        ,35.8782721,-94.9749498,"['40145', '40135', '40101', '40041', '40001', '40021', '40061', '40097']",Cherokee Nation                                                                       ,Class II & III                        ,525,     2019 ,           92000 ,               ,21.97872917, 170000000,OK,Cherokee Casino - Tahlequah
2416 US-412 West Siloam Springs OK 74338           ,36.17652402,-94.56610843,"['05007', '40041', '40001', '40021', '29119', '05033', '05143']",Cherokee Nation                                                                       ,Class II & III                        ,1500,     1997 ,          200000 ,               ,62.79636906, 100000000,OK,Cherokee Casino - West Siloam Springs
777 W Cherokee St Catoosa OK 74015                 ,36.16536205,-95.76543831,"['40145', '40143', '40113', '40101', '40131', '40037', '40105', '40111', '40147', '40097']",Cherokee Nation                                                                       ,Class II & III                        ,2600,     2009 ,          147000 ,          2019 ,108.8470397,  52000000,OK,Hard Rock Hotel & Casino
20403 OK-33 Hammon OK 73650                        ,35.638809,-99.370888,"['40045', '40039', '40043', '40009', '40129', '40149']",Cheyenne and Arapaho Tribes                                                           ,Class II & III                        ,341,     2016 ,                 ,               ,6.038541667,          ,OK,Lucky Star Travel Center Casino - Hammon
7805 US-81 El Reno OK 73036                        ,35.4823694,-97.9388398,"['40073', '40027', '40017', '40109', '40083', '40015', '40051', '40011', '40087']",Cheyenne and Arapaho Tribes                                                           ,Class II & III                        ,407,     1995 ,            8800 ,               ,7.207291667,          ,OK,Lucky Star Travel Center Casino - Concho
1218 Knox Avenue Clinton OK 73601                  ,35.50741995,-98.97526238,"['40075', '40039', '40043', '40009', '40129', '40149', '40015', '40011']",Cheyenne and Arapaho Tribes                                                           ,Class II & III                        ,808,     2011 ,           13000 ,               ,14.30833333,          ,OK,Lucky Star Casino - Clinton
7777 US-81 El Reno OK 73036                        ,35.4823694,-97.9388398,"['40073', '40027', '40017', '40109', '40083', '40015', '40051', '40011', '40087']",Cheyenne and Arapaho Tribes                                                           ,Class II & III                        ,1500,     1995 ,           45000 ,               ,26.5625,          ,OK,Lucky Star Casino - Concho
Canton OK 73724                                    ,36.0535702,-98.588543,"['40073', '40151', '40017', '40093', '40039', '40043', '40153', '40003', '40011']",Cheyenne and Arapaho Tribes                                                           ,Class II & III                        ,400,     2008 ,                 ,               ,7.083333333,          ,OK,Lucky Star Casino - Canton
714 E A St Watonga OK 73772                        ,35.84319084,-98.40550086,"['40073', '40017', '40093', '40039', '40043', '40015', '40011']",Cheyenne and Arapaho Tribes                                                           ,Class II & III                        ,480,     1989 ,          100000 ,          2019 ,8.5,          ,OK,Lucky Star Casino - Watonga
1500 N Country Club Rd Ada OK 74820                ,34.7882083,-96.6524477,"['40125', '40133', '40069', '40099', '40123', '40063', '40029', '40049', '40087']",Chickasaw Nation                                                                      ,Class II & III                        ,360,     1983 ,           22482 ,               ,18.49650062,          ,OK,Ada Gaming Center
930 W 8th St Ada OK 74820                          ,34.7777332,-96.69191921,"['40125', '40133', '40069', '40099', '40123', '40063', '40029', '40049', '40087']",Chickasaw Nation                                                                      ,Class II & III                        ,132,     2016 ,             716 ,               ,6.782050226,          ,OK,Chickasaw Travel Stop - Ada Gaming West
Wilson OK 73463                                    ,34.1620385,-97.4258551,"['40067', '48337', '40019', '48097', '40099', '40085', '40137', '40049']",Chickasaw Nation                                                                      ,Class II & III                        ,200,     2001 ,            3744 ,               ,10.27583368,          ,OK,Black Gold Casino - Wilson
7807 US-81 Duncan OK 73533                         ,34.5848365,-97.96889045,"['40067', '40033', '40019', '40031', '40137', '40049', '40015', '40051', '40087']",Chickasaw Nation                                                                      ,Class II & III                        ,550,     2004 ,           22000 ,               ,28.25854261,          ,OK,Chisholm Trail Casino
Kingston OK 73439                                  ,33.9984099,-96.7198974,"['40013', '40095', '40005', '40019', '40069', '48097', '40099', '40085', '48181']",Chickasaw Nation                                                                      ,Class II & III                        ,275,     2023 ,            9600 ,               ,14.12927131,  44200000,OK,West Bay Casino and Resort
2457 Highway 62 N Service Rd Newcastle OK 73065    ,35.27731855,-97.5987102,"['40027', '40017', '40109', '40049', '40051', '40087']",Chickasaw Nation                                                                      ,Class II & III                        ,200,     2017 ,           83000 ,               ,10.27583368,          ,OK,Newcastle Travel Center
301 Main St Terral OK 73569                        ,33.89931,-97.9379,"['40067', '48337', '40033', '40019', '48077', '40085', '40137', '48237']",Chickasaw Nation                                                                      ,Class II & III                        ,644,     2018 ,           36000 ,               ,33.08818444,  10000000,OK,Riverstar Casino
willis oklahoma 73439                              ,33.8856574,-96.8291691,"['40013', '40095', '40019', '40069', '48097', '40085', '48181']",Chickasaw Nation                                                                      ,Class II & III                        ,606,     2019 ,           58500 ,               ,31.13577604,          ,OK,Megastar Casino
2001 Airline Rd Pauls Valley OK 73075              ,34.70522365,-97.24842427,"['40027', '40125', '40019', '40069', '40099', '40123', '40137', '40049', '40051', '40087']",Chickasaw Nation                                                                      ,Class II & III                        ,60,     2017 ,            1910 ,               ,3.082750103,          ,OK,Jet Stream Casino
Davis OK 73030                                     ,34.5034796,-97.1188924,"['40027', '40095', '40125', '40019', '40069', '40099', '40123', '40085', '40049', '40087']",Chickasaw Nation                                                                      ,Class II & III                        ,34,     2020 ,             540 ,               ,1.746891725,          ,OK,Chickasaw Travel Stop - Davis Gaming
1600 US-81 Pocasset OK 73079                       ,35.1755852,-97.96516459,"['40027', '40017', '40031', '40109', '40015', '40051', '40087']",Chickasaw Nation                                                                      ,Class II & III                        ,600,     2012 ,            3600 ,               ,30.82750103,          ,OK,Salt Creek Casino
1200 W Main St Tishomingo OK 73460                 ,34.240221,-96.69013398,"['40013', '40095', '40005', '40019', '40069', '48097', '40099', '40123', '40085', '40029', '48181']",Chickasaw Nation                                                                      ,Class II                              ,15,     2015 ,                 ,               ,0.7706875257,          ,OK,Tishomingo Tobacco Games
1001 W 1st St Sulphur OK 73086                     ,34.50746665,-96.96809605,"['40095', '40125', '40133', '40019', '40069', '40099', '40123', '40049', '40087']",Chickasaw Nation                                                                      ,Class II & III                        ,300,     1987 ,           15000 ,          2010 ,15.41375051,          ,OK,Artesian Casino
777 Casino Ave Thackerville OK 73459               ,33.75730355,-97.1316925,"['40095', '48337', '48497', '40019', '48097', '48121', '40085', '48181']",Chickasaw Nation                                                                      ,Class II & III                        ,10500,     2003 ,          400000 ,          2023 ,539.481268, 600000000,OK,Winstar World Casino and Resort
777 Casino Ave Thackerville OK 73459               ,33.75730355,-97.1316925,"['40095', '48337', '48497', '40019', '48097', '48121', '40085', '48181']",Chickasaw Nation                                                                      ,Class II                              ,34,     2015 ,            1189 ,               ,1.746891725,          ,OK,Chickasaw Travel Stop - Thackerville Gaming
777 Casino Ave Thackerville OK 73459               ,33.75730355,-97.1316925,"['40095', '48337', '48497', '40019', '48097', '48121', '40085', '48181']",Chickasaw Nation                                                                      ,Class II & III                        ,2300,     2009 ,           88000 ,               ,118.1720873,          ,OK,Border Casino
Davis OK 73030                                     ,34.5034796,-97.1188924,"['40027', '40095', '40125', '40019', '40069', '40099', '40123', '40085', '40049', '40087']",Chickasaw Nation                                                                      ,Class II & III                        ,400,     2003 ,           19666 ,               ,20.55166735,          ,OK,Treasure Valley Casino
30639 OK-145 Paoli OK 73074                        ,34.8262862,-97.2854108,"['40027', '40125', '40019', '40099', '40123', '40137', '40049', '40051', '40087']",Chickasaw Nation                                                                      ,Class II & III                        ,250,     1988 ,            6335 ,               ,12.8447921,          ,OK,Washita Casino
