Address                                                               ,latitude,longitude,fips_codes
406 Main Ave Callaway MN 56521                                        ,46.9809071110549,-95.90918635800395,"['27087', '27107', '27005', '27029', '27111', '27027']"
207 SW Main Street mahnomen mn                                        ,,,
1004 Pleasant Ave Waubun MN 56589                                     ,47.1805005,-95.9391091,"['27087', '27119', '27107', '27005', '27029', '27027']"
777 S Casino Rd Mahnomen MN 56557                                     ,47.30953801220625,-95.96493024883023,"['27087', '27119', '27107', '27005', '27029', '27027']"
1222 1st St Waubun MN 56589-4048                                      ,,,
27345 Co Rd 4 Naytahwaush MN 56566                                    ,,,
411 Main St E Ogema MN 56569                                          ,,,
230 Shore Avenue Naytahwaush MN 56566                                 ,,,
25921 County Rd 34 Ogema MN 56569                                     ,,,
30389 Co Hwy 35 Ponsford MN 56575                                     ,,,
500 Main St Bejou MN 56516                                            ,47.44219,-95.974467,"['27087', '27119', '27107', '27125', '27005', '27029', '27027']"
40419 Elbow Lake Store Rd Waubun MN 56589                             ,,,
13541 MS-16 Choctaw MS 39350                                          ,32.8667826,-90.815438,"['28055', '28163', '28149', '28151', '22035', '28051', '22065', '28053', '05017', '28049', '28133', '28125']"
1 Choctaw Rd Heidelberg MS 39439                                      ,31.7771355,-89.0089693,"['28023', '28153', '28129', '28067', '28041', '28031', '28035', '28111', '28061']"
13541 MS-16 Philadelphia MS 39350                                     ,32.75741400742036,-88.96876706899653,"['28007', '28075', '28103', '28159', '28069', '28019', '28099', '28101', '28079', '28123']"
711 Grandma B Boulvard Brockton MT                                    ,,,
300 F St W Poplar MT 59255                                            ,48.112844,-105.199467,"['30085', '30055', '30083', '30021']"
300 MT-25 Wolf Point MT 59201                                         ,48.0959595,-105.6163345,"['30085', '30105', '30055', '30083', '30021']"
Highway 2 East Poplar Montana 59255                                   ,,,
132 US-2 Wolf Point MT 59201                                          ,48.09573365,-105.63848525056858,"['30085', '30105', '30055', '30021']"
33 Dawson Ave East Glacier Park MT 59434                              ,48.44200964382849,-113.2178886336415,"['30029', '30073', '30099', '30035']"
601 SE Boundary St Browning MT 59417                                  ,48.54926185,-113.01193698780595,"['30029', '30073', '30099', '30035']"
46 Museum Lp Browning MT 59417                                        ,48.5562994,-113.0243553,"['30029', '30073', '30099', '30035']"
11275 US-87 Box Elder MT 59521                                        ,48.3885576,-109.9229815,"['30015', '30005', '30041']"
44297 A St Big Arm MT 59910                                           ,47.79925068065579,-114.29146278501997,"['30029', '30089', '30063', '30047']"
20750 US-93 Missoula MT 59808                                         ,47.07015847193233,-114.0654293218417,"['30081', '30061', '30089', '30063', '30047']"
49708 US-93 Polson MT 59860                                           ,47.69429092857143,-114.15842735714286,"['30029', '30089', '30063', '30047']"
104 Assiniboine Ave Harlem MT 59526                                   ,,,
1/2 US-212 Lame Deer MT 59043                                         ,45.6254589,-106.6582248,"['30087', '30003', '30075', '30103']"
538 Kings Mountain Blvd Kings Mountain NC 28086                       ,35.2397493,-81.3804084,"['45091', '37023', '37161', '45087', '45021', '45023', '37035', '37109', '37119', '37071', '37045']"
777 Casino Dr Cherokee NC 28719                                       ,,,
777 Casino Pkwy Murphy NC 28906                                       ,35.115273099999996,-83.99234246522104,"['13291', '37039', '37043', '37075', '13311', '47123', '47009', '37173', '37113', '13111', '47139', '13187', '13281', '13241']"
16849 102nd St SE Hankinson ND 58041                                  ,,,
7889 ND-57 St Michael ND 58370                                        ,48.016008600000006,-98.90807472477931,"['38005', '38071', '38103', '38095', '38027', '38031', '38063']"
7932 ND-24 Fort Yates ND 58538                                        ,46.0887664,-100.6702996,"['38037', '38085', '38059', '38029', '46031', '46021']"
202 Frontage Rd New Town ND 58763                                     ,,,
352 Main Street New Town North Dakota 58763                           ,47.979639717171715,-102.48781315151516,"['38053', '38055', '38061', '38105', '38025']"
209 Main Street Spiritwood North Dakota 58481-4003                    ,,,
8210 39th St NW New Town ND 58763-9570                                ,,,
4418 147th Ave NW Williston ND 58801                                  ,,,
Nd-5 Belcourt ND 58316                                                ,48.844034,-99.732593,"['38095', '38009', '38069', '38079']"
P.O. Box 900 4180 Highway 281 Belcourt ND 58316                       ,,,
3965 Sky Dancer Way NE Belcourt ND 58316                              ,,,
200 Main St Walthill NE 68067                                         ,42.148287,-96.487205,"['46127', '31051', '31053', '19133', '31039', '31021', '31173', '31179', '19149', '31043', '19193']"
1031 Avenue H Carter Lake IA 51510                                    ,41.281402466640294,-95.91543240216572,"['31153', '31053', '31177', '31055', '19071', '19085', '31025', '19129', '31155', '19155']"
53142 NE-12 Niobrara NE 68760                                         ,42.7526168,-98.0232686,"['46067', '46009', '46023', '31003', '31089', '31139', '46135', '31107', '31015']"
214 Industrial Rd Winnebago NE 68071                                  ,,,
1106 Main St Emerson NE 68733                                         ,42.27874275,-96.72634309191267,"['31167', '46127', '31051', '19133', '31039', '31021', '31173', '31179', '46027', '19149', '31027', '31043', '19193']"
25845 US-70 Mescalero NM 88340                                        ,33.1556934,-105.7701056,"['35027', '35035']"
287 Carrizo Canyon Rd Mescalero NM 88340                              ,,,
2710 US-64 Shiprock NM 87420                                          ,36.7842991,-108.6692588,"['08083', '35045', '04001', '49037', '08067']"
2752 Indian Service Rd 36 Farmington NM 87401                         ,,,
249 U.S. Rt. 66 Church Rock NM 87311                                  ,,,
68 NM-291 Ohkay Owingeh NM 87566                                      ,36.0681326,-106.0563469,"['35039', '35055', '35033', '35047', '35028', '35049', '35043']"
7 Sky City Rd drive North Acomita Village NM 87007                    ,,,
I-40 & Exit 102 Acoma Pueblo NM 87034                                 ,,,
11000 Broadway Blvd SE Albuquerque NM 87105                           ,35.043445,-106.647561,"['35057', '35061', '35001', '35006', '35049', '35043']"
14500 Central Ave SW Rio Puerco Albuquerque NM 87121                  ,,,
101 Capital Drive Laguna New Mexico 87026                             ,,,
